암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzIxIyQyIyQ5IyQwMCQyNjE4MzIjNTEjJDEjJDYjJDgz,NY단치과의원,51,치과의원,340000,충남,340202,천안동남구,신방동,31204,"충청남도 천안시 동남구 통정5로 67, 2층 (신방동)",041-571-2842,,2010-05-04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1337465,36.7751058
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,SG삼성조은병원,21,병원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당25로 200, 2,3,4,5층 (불당동)",041-571-7581,,2017-09-22,12,2,0,0,10,0,0,0,0,0,0,0,0,0,127.109134,36.8188843
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMzUxIzUxIyQxIyQ1IyQ5OSQyNjEwMDIjNjEjJDEjJDgjJDgz,SM스마트치과의원,51,치과의원,340000,충남,340202,천안동남구,청당동,31198,"충청남도 천안시 동남구 청수11로 13-11, 9층 (청당동)",041-565-2875,,2015-05-18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.15364,36.7833512
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ3MiQzNjEyMjIjNjEjJDEjJDQjJDgz,S라인V라인의원,31,의원,340000,충남,340201,천안서북구,,31156,"충청남도 천안시 서북구 불당21로 71, 3층 301호 (불당동)",041-553-8070,,2014-04-25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1081762,36.8129631
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzExIyQyIyQ3IyQwMCQzNjEyMjIjNjEjJDEjJDgjJDgz,W여성외과의원,31,의원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당25로 176, 4층 401~403호 (불당동)",041-568-8300,,2010-04-19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1091449,36.8161757
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjODEjJDEjJDYjJDgz,가나다소아청소년과의원,31,의원,340000,충남,340201,천안서북구,성성동,31079,"충청남도 천안시 서북구 업성수변로 94, 2층 203호 (성성동)",041-903-8885,,2024-11-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1403033,36.8473298
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkNTgxMzUxIzExIyQxIyQ3IyQxMyQzNjEwMDIjODEjJDEjJDYjJDgz,가야요양병원,28,요양병원,340000,충남,340202,천안동남구,영성동,31130,"충청남도 천안시 동남구 영성로 7, (영성동, 가야요양병원)",041-558-1000,,2014-01-08,5,0,0,0,4,0,0,0,0,1,0,0,0,0,127.1505959,36.7989313
JDQ4MTYyMiM2MSMkMSMkMiMkNjIkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE4MzIjNTEjJDEjJDYjJDgz,가온치과병원,41,치과병원,340000,충남,340201,천안서북구,성정동,31109,"충청남도 천안시 서북구 동서대로 129, (성정동)",041-552-0005,,2004-12-18,7,0,0,0,0,0,0,0,7,0,0,0,0,0,127.1378027,36.8262114
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,가온한의원,93,한의원,340000,충남,340202,천안동남구,청당동,31198,"충청남도 천안시 동남구 청수4로 10, 3층 305,306호 (청당동)",041-551-7575,,2020-08-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1529449,36.7827604
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzMxIyQxIyQ3IyQ3OSQzNjE0ODEjNTEjJDEjJDIjJDgz,가지런-e치과교정과치과의원,51,치과의원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당33길 24, 3층 303호 (불당동)",041-577-2274,,2012-12-31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1082039,36.8124074
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ5MiQzNjE0ODEjNjEjJDEjJDAjJDgz,가톨릭성모의원,31,의원,340000,충남,340202,천안동남구,대흥동,31128,"충청남도 천안시 동남구 대흥로 256, (대흥동, 홍익빌딩)",041-567-2202,,1999-04-08,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1487218,36.8106782
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,가톨릭정형외과의원,31,의원,340000,충남,340201,천안서북구,쌍용동,31166,"충청남도 천안시 서북구 월봉로 122, 2층 202-205호 (쌍용동)",041-621-8275,,2006-01-20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1188958,36.8014806
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMTkxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,가톨릭치과의원,51,치과의원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당34길 18, 2층 (불당동)",041-555-3700,,2020-02-10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1064318,36.8064529
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ4OSQyNjE4MzIjODEjJDEjJDIjJDgz,가톨릭피부과의원,31,의원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당34길 18, 2층 (불당동)",041-573-9907,,2002-05-09,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1064318,36.8064529
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ2MiQzNjE0ODEjNDEjJDEjJDgjJDgz,감동플란트치과의원,51,치과의원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당22대로 86, 마블러스에스타워 3층 304호 (불당동)",041-555-2885,,2020-09-22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1081509,36.8154373
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjEwMDIjNDEjJDEjJDgjJDgz,강치과의원,51,치과의원,340000,충남,340202,천안동남구,신부동,31119,"충청남도 천안시 동남구 터미널2로 12, 3층 (신부동, 신부빌딩)",041-563-9493,,1990-04-03,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.158409,36.8200291
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ4OSQzNjE0ODEjNzEjJDEjJDgjJDgz,갤러리아의원,31,의원,340000,충남,340201,천안서북구,불당동,31168,"충청남도 천안시 서북구 공원로 219, 3층 301~309호 (불당동)",041-567-6677,,2019-10-11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1036262,36.8001848
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzExIyQxIyQ3IyQwMyQzNjE4MzIjNTEjJDEjJDYjJDgz,갤러리치과의원,51,치과의원,340000,충남,340202,천안동남구,신부동,31118,"충청남도 천안시 동남구 터미널9길 25, (신부동, 신비할인마트)",041-554-2875,,2006-04-20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1554666,36.823179
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkMzgxNzAyIzExIyQxIyQ3IyQ4OSQzNjEwMDIjNjEjJDEjJDQjJDgz,경여당중국한의원,93,한의원,340000,충남,340202,천안동남구,원성동,31127,"충청남도 천안시 동남구 버들로 59, (원성동, 경여당중국한의원)",041-551-5008,,1981-07-27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1528467,36.8064795
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQxMyQyNjEyMjIjNjEjJDEjJDgjJDgz,경희광장한의원,93,한의원,340000,충남,340202,천안동남구,영성동,31131,"충청남도 천안시 동남구 큰시장길 36, (영성동)",041-554-0227,,2011-11-28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1507181,36.8019028
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNTEjJDEjJDIjJDgz,경희나라한의원,93,한의원,340000,충남,340202,천안동남구,청당동,31198,"충청남도 천안시 동남구 청수11로 11, 3층 (청당동)",041-900-1075,,2020-10-07,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1537221,36.7831608
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ2MiQyNjE0ODEjNDEjJDEjJDQjJDgz,경희상록수한의원,93,한의원,340000,충남,340201,천안서북구,쌍용동,31172,"충청남도 천안시 서북구 쌍용17길 53, 2층 (쌍용동)",041-579-3375,,2021-06-02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1228744,36.7955605
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ4OSQzNjE0ODEjNzEjJDEjJDgjJDgz,경희약손한의원,93,한의원,340000,충남,340201,천안서북구,쌍용동,31155,"충청남도 천안시 서북구 봉명로 20, 2층 202호 (쌍용동)",041-903-1075,,2023-07-13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1305186,36.8074995
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,경희한사랑한의원,93,한의원,340000,충남,340201,천안서북구,두정동,31103,"충청남도 천안시 서북구 봉정로 362, 201호 (두정동)",041-563-0121,,2011-06-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1457984,36.8343409
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,경희한의원,93,한의원,340000,충남,340202,천안동남구,문화동,31128,"충청남도 천안시 동남구 문화1길 5-1, (문화동)",041-562-6161,,1997-04-23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1508089,36.8085035
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjE4MzIjNDEjJDEjJDgjJDgz,경희허준한의원,93,한의원,340000,충남,340202,천안동남구,신부동,31118,"충청남도 천안시 동남구 터미널9길 25, 3층 (신부동)",041-561-1775,,2013-02-06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1554666,36.823179
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQwMyQyNjEyMjIjNjEjJDEjJDQjJDgz,경희현한의원,93,한의원,340000,충남,340202,천안동남구,북면,31243,"충청남도 천안시 동남구 북면 충절로 1291, (북면)",041-522-1200,,2022-08-24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.250659,36.7702491
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,고려가정의학과의원,31,의원,340000,충남,340202,천안동남구,목천읍,31233,"충청남도 천안시 동남구 목천읍 신계1길 41, 401호 (동우아파트상가)",041-622-9398,,2005-04-20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1934751,36.7721993
JDQ4MTYyMiM2MSMkMSMkMiMkNjIkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,고려치과병원,41,치과병원,340000,충남,340202,천안동남구,구성동,31193,"충청남도 천안시 동남구 충절로 283, (구성동)",041-564-2875,,2003-01-09,2,0,0,0,0,2,0,0,0,0,0,0,0,0,127.1604839,36.7939225
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkMzgxNzAyIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,고려한의원,93,한의원,340000,충남,340202,천안동남구,신부동,31123,"충청남도 천안시 동남구 만남로 34, 선진빌딩 (신부동)",041-553-6364,,1994-04-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.155899,36.8185993
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMzUxIzMxIyQxIyQzIyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz,고상덕치과교정과치과의원,51,치과의원,340000,충남,340202,천안동남구,신부동,31123,"충청남도 천안시 동남구 만남로 50, 4층 (신부동, 터미널프라자)",041-554-3330,,1994-02-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1576124,36.8186482
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzUxIyQxIyQ1IyQ4OSQyNjE4MzIjNDEjJDEjJDgjJDgz,고운미소치과의원,51,치과의원,340000,충남,340201,천안서북구,성환읍,31016,"충청남도 천안시 서북구 성환읍 성환중앙로 39, 2층",041-585-2875,,2011-02-07,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1300051,36.9174477
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjE4MzIjNTEjJDEjJDIjJDgz,고운빛산부인과의원,31,의원,340000,충남,340201,천안서북구,백석동,31158,"충청남도 천안시 서북구 백석3로 130-14, (백석동)",041-567-1188,,2005-03-08,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1258241,36.8221911
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,고운신경과정신건강의학과의원,31,의원,340000,충남,340202,천안동남구,대흥동,31144,"충청남도 천안시 동남구 대흥로 271, (대흥동)",041-567-4300,,1989-08-31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1488388,36.8123202
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,공감치과의원,51,치과의원,340000,충남,340201,천안서북구,직산읍,31037,"충청남도 천안시 서북구 직산읍 봉주로 70, 301호",041-582-2879,,2018-06-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.154194,36.8771602
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDgjJDgz,곽병수내과의원,31,의원,340000,충남,340202,천안동남구,신방동,31176,"충청남도 천안시 동남구 서부대로 227, 3층 (신방동, 예은빌딩)",041-574-6943,,2001-05-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1284603,36.7886121
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzIxIyQxIyQ1IyQwMyQyNjEwMDIjNzEjJDEjJDgjJDgz,곽치과의원,51,치과의원,340000,충남,340201,천안서북구,쌍용동,31173,"충청남도 천안시 서북구 불당대로 260, 3층 (쌍용동)",041-575-1800,,1998-05-01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1245364,36.799774
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMzUxIzUxIyQxIyQxIyQ5MiQzNjEwMDIjODEjJDEjJDYjJDgz,광성연세치과의원,51,치과의원,340000,충남,340201,천안서북구,성환읍,31016,"충청남도 천안시 서북구 성환읍 성환9길 9, 2층",041-588-2875,,2000-04-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1290201,36.9161987
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkMzgxNzAyIzIxIyQxIyQ5IyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,광제당한의원,93,한의원,340000,충남,340202,천안동남구,사직동,31130,"충청남도 천안시 동남구 대흥로 119, (사직동, 광제당한의원)",041-563-1093,,1989-11-06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1494291,36.8001264
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ5OSQyNjE0ODEjNTEjJDEjJDIjJDgz,광제산부인과의원,31,의원,340000,충남,340201,천안서북구,성정동,31134,"충청남도 천안시 서북구 서부18길 23, (성정동)",041-575-3200,http://,1993-04-27,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1403438,36.8242839
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ2MiQzNjEyMjIjNjEjJDEjJDQjJDgz,굳건한의원,93,한의원,340000,충남,340201,천안서북구,쌍용동,31166,"충청남도 천안시 서북구 월봉로 134, 203호 (쌍용동)",041-573-1075,,2011-04-22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1191325,36.8025838
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQxMyQzNjEyMjIjNTEjJDEjJDIjJDgz,굿모닝비뇨기과의원,31,의원,340000,충남,340201,천안서북구,쌍용동,31174,"충청남도 천안시 서북구 충무로 175, 2(205호),5층 (쌍용동)",041-571-0050,http://gooduro.net/cheonan/,2007-05-31,4,3,0,0,1,0,0,0,0,0,0,0,0,0,127.1264579,36.7947993
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ4MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,굿모닝정신건강의학과의원,31,의원,340000,충남,340202,천안동남구,신부동,31120,"충청남도 천안시 동남구 만남로 9, 더샵오피스텔 3층303호 (신부동)",041-558-0066,,2017-07-31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1530166,36.8191823
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzExIyQxIyQ3IyQwMyQyNjEyMjIjNDEjJDEjJDQjJDgz,굿모닝정형외과의원,31,의원,340000,충남,340201,천안서북구,두정동,31090,"충청남도 천안시 서북구 두정로 104, (두정동)",565-8877,www.good-os.co.kr/,2010-11-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1283423,36.8337376
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzUxIyQxIyQxIyQ4MiQyNjE0ODEjNjEjJDEjJDgjJDgz,굿모닝치과의원,51,치과의원,340000,충남,340201,천안서북구,두정동,31105,"충청남도 천안시 서북구 봉정로 321, 3층 301호 (두정동)",041-575-2804,,2005-04-26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1448557,36.8306527
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxMzUxIzQxIyQxIyQ3IyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz,규림한의원,93,한의원,340000,충남,340202,천안동남구,신부동,31123,"충청남도 천안시 동남구 만남로 36, 광동빌딩 2층 (신부동)",041-553-8875,http://skin.kyurim.com/html/info_ca.asp,2012-01-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1561146,36.8186353
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMzUxIzIxIyQxIyQ5IyQ3OSQyNjEwMDIjNDEjJDEjJDQjJDgz,그린치과의원,51,치과의원,340000,충남,340201,천안서북구,쌍용동,31166,"충청남도 천안시 서북구 월봉로 122, 3층 (쌍용동)",041-575-2828,,1992-05-04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1188958,36.8014806
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkMzgxNzAyIzUxIyQxIyQxIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,길상한의원,93,한의원,340000,충남,340201,천안서북구,쌍용동,31175,"충청남도 천안시 서북구 충무로 130, 2층 (쌍용동, 환산빌딩)",041-573-3075,,2005-02-28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1220087,36.7925153
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzMxIyQyIyQ3IyQwMCQzNjE4MzIjODEjJDEjJDYjJDgz,길치과의원,51,치과의원,340000,충남,340202,천안동남구,청수동,31189,"충청남도 천안시 동남구 풍세로 1008, 2층 (청수동)",041-558-2879,,2013-05-20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1530002,36.7971762
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkMzgxNzAyIzIxIyQxIyQxIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,길한의원,93,한의원,340000,충남,340201,천안서북구,쌍용동,31161,"충청남도 천안시 서북구 봉서산1길 41, (쌍용동)",041-571-8037,,1993-01-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1185696,36.8070516
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,김교수안과의원,31,의원,340000,충남,340202,천안동남구,신부동,31124,"충청남도 천안시 동남구 만남로 64, 2층 202,203호 (신부동)",041-417-4040,,2024-06-24,3,2,0,0,1,0,0,0,0,0,0,0,0,0,127.1593265,36.8191481
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMzUxIzMxIyQxIyQzIyQ4OSQzNjE4MzIjNTEjJDEjJDYjJDgz,김병기정형외과의원,31,의원,340000,충남,340202,천안동남구,원성동,31187,"충청남도 천안시 동남구 고재20길 1, (원성동, 김병기정형외과)",041-551-3882,,1982-02-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1591789,36.8036932
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQyNjEwMDIjNTEjJDEjJDIjJDgz,김성태정형외과의원,31,의원,340000,충남,340202,천안동남구,성황동,31121,"충청남도 천안시 동남구 대흥로 327, 지하1층, 지상1층 (성황동, 이승훈정형외과의원)",041-551-2602,,1971-11-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1507837,36.8172128
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxOTYxIzIxIyQxIyQ5IyQ3MiQ0NjE0ODEjODEjJDEjJDYjJDgz,김앤박치과의원,51,치과의원,340000,충남,340202,천안동남구,사직동,31129,"충청남도 천안시 동남구 대흥로 118, 4층 (사직동)",041-622-2879,,2010-11-10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,127.1498864,36.8002228
